score,model,n_classes,n_dim,n_points,noise_std,max_depth
0.9977628635346756,kdt,3,6,2231,0.025419113168685448,8
0.9977628635346756,edt,3,6,2231,0.025419113168685448,8
0.9136904761904762,hdt,3,14,1676,0.181331002998307,7
0.8988095238095238,kdt,3,14,1676,0.181331002998307,7
0.9136904761904762,edt,3,14,1676,0.181331002998307,7
0.31666666666666665,hdt,7,7,2396,0.12023466693513735,1
0.31666666666666665,kdt,7,7,2396,0.12023466693513735,1
0.35833333333333334,edt,7,7,2396,0.12023466693513735,1
0.6382978723404256,hdt,8,7,468,0.4551717489262987,6
0.6276595744680851,kdt,8,7,468,0.4551717489262987,6
0.6170212765957447,edt,8,7,468,0.4551717489262987,6
0.7444444444444445,hdt,4,5,2248,0.48064898706647136,4
0.7355555555555555,kdt,4,5,2248,0.48064898706647136,4
0.7755555555555556,edt,4,5,2248,0.48064898706647136,4
0.5141242937853108,hdt,7,13,881,0.20664238185757539,3
0.4971751412429379,kdt,7,13,881,0.20664238185757539,3
0.480225988700565,edt,7,13,881,0.20664238185757539,3
1.0,hdt,2,5,150,0.17410441519374248,4
1.0,kdt,2,5,150,0.17410441519374248,4
1.0,edt,2,5,150,0.17410441519374248,4
0.7379182156133829,hdt,4,9,2687,0.14275439005925578,3
0.7342007434944238,kdt,4,9,2687,0.14275439005925578,3
0.7565055762081785,edt,4,9,2687,0.14275439005925578,3
0.7642857142857142,hdt,5,10,697,0.3197707175689147,7
0.8428571428571429,kdt,5,10,697,0.3197707175689147,7
0.6714285714285714,edt,5,10,697,0.3197707175689147,7
0.6625916870415648,hdt,4,10,2045,0.3373517183965284,4
0.6674816625916871,kdt,4,10,2045,0.3373517183965284,4
0.6723716381418093,edt,4,10,2045,0.3373517183965284,4
0.9946524064171123,hdt,2,4,934,0.00771589817815882,2
1.0,kdt,2,4,934,0.00771589817815882,2
1.0,edt,2,4,934,0.00771589817815882,2
0.7692307692307693,hdt,9,4,2921,0.1279099015964673,6
0.7794871794871795,kdt,9,4,2921,0.1279099015964673,6
0.7675213675213676,edt,9,4,2921,0.1279099015964673,6
0.8676470588235294,hdt,5,4,678,0.10562421456703325,7
0.875,kdt,5,4,678,0.10562421456703325,7
0.875,edt,5,4,678,0.10562421456703325,7
0.956989247311828,hdt,2,13,464,0.3328368681146456,9
0.967741935483871,kdt,2,13,464,0.3328368681146456,9
0.946236559139785,edt,2,13,464,0.3328368681146456,9
0.7959183673469388,hdt,7,6,1957,0.23721347527941883,6
0.8086734693877551,kdt,7,6,1957,0.23721347527941883,6
0.7244897959183674,edt,7,6,1957,0.23721347527941883,6
0.7266355140186916,hdt,4,10,2136,0.1255442339623577,3
0.7266355140186916,kdt,4,10,2136,0.1255442339623577,3
0.7920560747663551,edt,4,10,2136,0.1255442339623577,3
0.7589743589743589,hdt,7,4,1950,0.15923539631283157,6
0.7512820512820513,kdt,7,4,1950,0.15923539631283157,6
0.7282051282051282,edt,7,4,1950,0.15923539631283157,6
0.7096774193548387,hdt,2,4,1240,0.3998644174793067,4
0.6814516129032258,kdt,2,4,1240,0.3998644174793067,4
0.6693548387096774,edt,2,4,1240,0.3998644174793067,4
0.7023172905525846,hdt,9,8,2801,0.26530253601637427,8
0.6951871657754011,kdt,9,8,2801,0.26530253601637427,8
0.6363636363636364,edt,9,8,2801,0.26530253601637427,8
0.6875,hdt,5,8,319,0.4491336122080181,4
0.6875,kdt,5,8,319,0.4491336122080181,4
0.640625,edt,5,8,319,0.4491336122080181,4
0.6422764227642277,hdt,8,11,1842,0.06116928798107063,4
0.6368563685636857,kdt,8,11,1842,0.06116928798107063,4
0.6964769647696477,edt,8,11,1842,0.06116928798107063,4
0.8807339449541285,hdt,6,8,543,0.049505198462600764,9
0.8715596330275229,kdt,6,8,543,0.049505198462600764,9
0.908256880733945,edt,6,8,543,0.049505198462600764,9
